id,node_type
227,For DOWN
208,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
213,constantInititalizer UP
42,expression|string|SingleQuoteString DOWN
225,innerStatement|statement|forStatement DOWN
160,variableInitializer|VarName UP
22,CloseRoundBracket DOWN
163,expressionList|expression UP
209,New DOWN
166,forUpdate|expressionList|expression UP
260,Array UP
169,expression|chain|chainOrigin|chainBase|keyedVariable UP
1,formalParameter|variableInitializer|VarName UP
266,Divide UP
17,identifier|Label DOWN
199,IsEqual DOWN
44,expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
12,globalVar|VarName UP
144,topStatement|functionDeclaration DOWN
183,Foreach UP
90,OpenSquareBracket DOWN
113,Greater UP
196,Echo DOWN
165,chain|chainOrigin|chainBase|keyedVariable|VarName UP
215,Minus DOWN
230,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Require UP
192,formalParameterList|formalParameter DOWN
222,constantInititalizer|constant|literalConstant|numericConstant|Decimal UP
206,expression|newExpr DOWN
246,constantInititalizer|string|SingleQuoteString UP
45,actualArgument|expression|string|SingleQuoteString DOWN
62,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
60,actualArgument|expression|constant|literalConstant|numericConstant|Decimal DOWN
179,interpolatedStringPart|StringPart DOWN
70,actualArgument|expression|chain|chainOrigin|functionCall DOWN
118,elseStatement UP
251,RequireOnce UP
76,BooleanAnd UP
79,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
20,actualArguments|arguments UP
3,formalParameterList DOWN
85,squareCurlyExpression DOWN
154,expression|constant|literalConstant|stringConstant|Label UP
201,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce UP
89,assignable|chain|chainOrigin|chainBase|keyedVariable DOWN
50,memberAccess DOWN
141,Global DOWN
39,actualArgument|expression UP
178,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
8,innerStatement|statement|globalStatement UP
43,Dot UP
226,Inc UP
106,CloseCurlyBracket DOWN
253,statement|returnStatement DOWN
92,actualArgument|expression|constant|literalConstant|stringConstant|Label UP
257,arrayItem DOWN
228,formalParameterList|formalParameter|variableInitializer|VarName DOWN
29,expression DOWN
130,constantInititalizer|constant|Null UP
175,DoubleQuote UP
185,innerStatement|statement|foreachStatement DOWN
14,functionCallName|classConstant UP
267,expressionList|expression|string UP
249,expression|constant|Null DOWN
171,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable UP
155,innerStatementList|innerStatement|statement|returnStatement UP
187,As DOWN
238,assignmentListElement|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
129,VarName DOWN
32,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
177,expression|string DOWN
181,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName UP
142,Function UP
134,Colon UP
77,parentheses UP
219,expression|parentheses DOWN
73,IsNotEq DOWN
189,As UP
54,expression|chain UP
97,Less UP
122,Else DOWN
190,DoubleArrow UP
137,castOperation|IntType DOWN
80,LogicalOr DOWN
58,chainOrigin|chainBase|keyedVariable|VarName DOWN
153,expression|constant|literalConstant|stringConstant|Label DOWN
19,OpenRoundBracket UP
132,Colon DOWN
161,forInit|expressionList|expression UP
138,castOperation|IntType UP
210,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce DOWN
255,innerStatementList|innerStatement|statement|ifStatement DOWN
197,actualArgument|expression|string UP
53,chainOrigin|chainBase|keyedVariable|VarName UP
88,assignable|chain|chainOrigin|chainBase|keyedVariable UP
13,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
82,LogicalOr UP
221,assignmentOperator|Concaequal UP
51,keyedFieldName|keyedSimpleFieldName|identifier|Label DOWN
57,assignmentOperator|Eq DOWN
126,formalParameter|variableInitializer DOWN
261,actualArgument|expression|arrayCreation UP
136,innerStatementList DOWN
145,Return UP
21,actualArguments|arguments DOWN
248,Percent UP
9,innerStatement|statement|globalStatement DOWN
123,CloseCurlyBracket UP
115,IsIdentical DOWN
229,formalParameterList|formalParameter|variableInitializer|VarName UP
109,innerStatement|statement|ifStatement UP
216,BooleanOr DOWN
25,OpenRoundBracket DOWN
68,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array UP
128,constantInititalizer|constant|literalConstant|numericConstant|Decimal DOWN
186,chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
31,Ampersand DOWN
237,assignmentList DOWN
52,keyedFieldName|keyedSimpleFieldName|identifier|Label UP
112,Greater DOWN
117,Else UP
262,actualArgument|expression|arrayCreation DOWN
125,formalParameter|variableInitializer UP
152,assignable|chain DOWN
10,globalVar|VarName DOWN
254,innerStatementList|innerStatement|statement|ifStatement UP
34,Ampersand UP
224,innerStatement|statement|forStatement UP
231,expression|constant|literalConstant|BooleanConstant DOWN
65,expression|chain|chainOrigin|functionCall DOWN
265,Divide DOWN
24,chain|chainOrigin|functionCall DOWN
55,expression|chain DOWN
233,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Empty UP
116,IsIdentical UP
176,expression|string UP
64,expression|chain|chainOrigin|functionCall UP
71,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array DOWN
218,expression|parentheses UP
217,BooleanOr UP
245,constantInititalizer|constant|literalConstant|BooleanConstant DOWN
148,Return DOWN
232,expression|constant|literalConstant|BooleanConstant UP
119,elseStatement DOWN
111,OpenCurlyBracket DOWN
234,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Empty DOWN
59,assignmentOperator|Eq UP
61,actualArgument|expression|constant|literalConstant|numericConstant|Decimal UP
67,actualArgument|expression|chain DOWN
264,List DOWN
162,forInit|expressionList|expression DOWN
121,statement|ifStatement DOWN
150,actualArgument|expression|constant|Null UP
236,assignmentList UP
133,QuestionMark UP
191,formalParameterList|formalParameter UP
220,assignmentOperator|Concaequal DOWN
27,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName UP
205,expression|newExpr UP
47,actualArgument|expression|string|SingleQuoteString UP
149,actualArgument|expression|constant|Null DOWN
49,memberAccess UP
202,arguments UP
2,formalParameterList UP
4,Comma DOWN
200,IsEqual UP
244,constantInititalizer|string|SingleQuoteString DOWN
103,OpenCurlyBracket UP
37,CloseRoundBracket UP
159,variableInitializer|VarName DOWN
207,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
131,QuestionMark DOWN
46,expression|string|SingleQuoteString UP
110,innerStatement|statement|ifStatement DOWN
211,Foreach DOWN
120,statement|ifStatement UP
127,constantInititalizer|constant|Null DOWN
180,DoubleQuote DOWN
143,topStatement|functionDeclaration UP
250,expression|constant|Null UP
91,actualArgument|expression|constant|literalConstant|stringConstant|Label DOWN
38,expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
83,OpenSquareBracket UP
108,If UP
193,Echo UP
75,BooleanAnd DOWN
167,forUpdate|expressionList|expression DOWN
239,List UP
243,IsGreaterOrEqual UP
66,actualArgument|expression|chain UP
99,actualArgument|expression|constant|literalConstant|BooleanConstant DOWN
252,statement|returnStatement UP
26,identifier|Label UP
40,actualArgument|expression DOWN
235,assignmentListElement|chain|chainOrigin|chainBase|keyedVariable|VarName UP
188,DoubleArrow DOWN
247,Percent DOWN
7,Global UP
15,functionCallName|classConstant DOWN
23,chain|chainOrigin|functionCall UP
84,squareCurlyExpression UP
184,innerStatement|statement|foreachStatement UP
87,VarName UP
268,expressionList|expression|string DOWN
170,expression|chain|chainOrigin|chainBase|keyedVariable DOWN
95,Less DOWN
35,innerStatement|statement|expressionStatement UP
156,innerStatementList|innerStatement|statement|returnStatement DOWN
164,expressionList|expression DOWN
151,assignable|chain UP
5,formalParameter|variableInitializer|VarName DOWN
78,parentheses DOWN
102,innerStatementList|innerStatement|statement|expressionStatement DOWN
258,arrayItemList UP
212,Minus UP
182,interpolatedStringPart|StringPart UP
69,actualArgument|expression|chain|chainOrigin|functionCall UP
81,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
135,innerStatementList UP
194,innerStatementList|innerStatement|statement|echoStatement UP
198,actualArgument|expression|string DOWN
241,Plus UP
41,Dot DOWN
94,Bang DOWN
259,arrayItemList DOWN
173,statement|expressionStatement UP
107,SemiColon UP
157,formalParameter UP
96,expression|constant|literalConstant|numericConstant|Decimal DOWN
98,expression|constant|literalConstant|numericConstant|Decimal UP
48,ObjectOperator UP
195,innerStatementList|innerStatement|statement|echoStatement DOWN
74,IsNotEq UP
256,arrayItem UP
72,Bang UP
30,Eq DOWN
240,Plus DOWN
101,innerStatementList|innerStatement|statement|expressionStatement UP
172,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable DOWN
168,Inc DOWN
28,expression UP
174,statement|expressionStatement DOWN
139,blockStatement UP
18,DoubleColon UP
33,Eq UP
146,innerStatement|statement|returnStatement UP
86,CloseSquareBracket DOWN
242,IsGreaterOrEqual DOWN
36,innerStatement|statement|expressionStatement DOWN
93,CloseSquareBracket UP
63,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
158,formalParameter DOWN
105,statement|blockStatement DOWN
263,Array DOWN
203,arguments DOWN
100,actualArgument|expression|constant|literalConstant|BooleanConstant UP
114,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
140,blockStatement DOWN
223,For UP
214,constantInititalizer DOWN
147,innerStatement|statement|returnStatement DOWN
204,New UP
104,statement|blockStatement UP
6,Comma UP
124,If DOWN
56,ObjectOperator DOWN
11,SemiColon DOWN
16,DoubleColon DOWN
